88112;CRITERIUM OLYMPIQUE;06001;25/03;26/03/2017;5A;M2K, OSIR
88113;LES 3 CAPS;06001;08/04;09/04/2017;5B;M2K, OSIR
88114;VIRE VITE;06001;01/05/2017;01/05/2017;5B;M2K, OSIR
88116;LES 3 BAIES;06001;07/05/2017;07/05/2017;5A;M2K, OSIR
88115;L'ANTIPOLIS;06001;12/05;13/05/2017;5B;M2K, OSIR
86429;53eme Croisière Bleue - Crédit Mutuel;06001;24/05;28/05/2017;3;OSIR
88117;ALBA CUP;06001;24/06;25/06/2017;5A;M2K, OSIR
88118;LA COUPE DE LA VILLE D'ANTIBES;06001;03/09/2017;03/09/2017;5B;M2K, OSIR
88119;6 HEURES D'ANTIBES;06001;09/09/2017;09/09/2017;5C;M2K, OSIR
88120;LA CHRETIENNE;06001;10/09/2017;10/09/2017;5B;M2K, OSIR
88121;CLINICUP;06001;16/09;17/09/2017;5C;OSIR
88122;CLINICUP;06001;23/09;24/09/2017;5C;OSIR
88123;COUPE DU CLUB;06001;30/09;01/10/2017;5B;M2K, OSIR
88124;REGATE ROSE;06001;22/10/2017;22/10/2017;5C;OSIR
88125;TROPHEE DES CLUBS;06001;04/11;05/11/2017;5B;M2K, OSIR
88126;LA REGATE DE NOEL;06001;16/12;17/12/2017;5B;M2K, OSIR
86817;Voiles en eau froide;06023;04/03;05/03/2017;5C;OSIR
86818;Avant 1ère de printemps;06023;19/03/2017;19/03/2017;5C;OSIR
86820;Solitaire N°1;06023;23/04/2017;23/04/2017;5C;OSIR
86821;Un Duo en Baie;06023;11/06/2017;11/06/2017;5B;OSIR
86822;Solitaire N°2;06023;08/10/2017;08/10/2017;5C;OSIR
86823;Coupe du Vin Nouveau;06023;19/11/2017;19/11/2017;5C;OSIR
86824;Coupe du Père Noël-Challenge Armand Martini;06023;10/12/2017;10/12/2017;5C;OSIR
86040;Sélective n° 4 / Championnat de Méditerranée;06056;07/01;08/01/2017;4;FC75
86042;Antibes Cup Internationale mixte -Trophée LVDH N°1;06056;24/02;26/02/2017;3;FC75
86043;Finale du Championnat de Méditerranée;06056;11/03;12/03/2017;4;FC75
86045;Sélective Championnat de France Universitaire;06056;01/04;02/04/2017;4;FC75
87689;Sélective Méditerranée / CFMR Espoirs;06056;16/09;17/09/2017;4;FC75
86047;Antibes Cup Internationale Féminines;06056;07/10;08/10/2017;3;FC75
86048;Antibes Cup Internationale - Trophée LVDH N°2;06056;13/10;15/10/2017;3;FC75
86051;Championnat de France de Match Racing Espoirs;06056;16/11;19/11/2017;3;FC75
86053;Sélective n° 3 / Championnat de Méditerranée;06056;02/12;03/12/2017;4;FC75
86735;Coupe du Président Coupe CYCCIT;06004;15/01/2017;15/01/2017;5B;NI80, OSIR, ULTI
86738;Cannes Sailing Cup;06004;17/03;19/03/2017; ;J70, NI80, SB2O, STA
86743;39ème Régates Royales;06004;26/09;30/09/2017;3;08J, 12MJ, 55JI, CIM, IRC, TOF
87049;Coupe d'Hiver des Nitro 80;06004;01/12;03/12/2017;5C;NI80
88084;Régate Départementale Grand Prix du Port de Cannes;06031;05/02/2017;05/02/2017;5B;M2K, OSIR
88085;Régate Départementale Grand Prix de la Ville de Ca;06031;11/06/2017;11/06/2017;5C;M2K, OSIR
88086;Régate Départementale Grand Prix du Beal;06031;05/11/2017;05/11/2017;5C;M2K, OSIR
88087;Régate Départementale Lerina;06031;10/12/2017;10/12/2017;5B;M2K, OSIR
87304;Régate de Bassin Challenge Michel Nivelt;06028;03/06;04/06/2017;5C;OSIR
87305;Régate de Bassin La nuit de la Rague;06028;24/06/2017;24/06/2017;5C;OSIR
87306;Régate de Bassin La coupe des iles;06028;02/09;03/09/2017;5C;OSIR
87307;Régate de Bassin le triangle de la Rague;06028;19/11/2017;19/11/2017;5C;OSIR
81891;NOEL EN DOUBLE;06035;18/12/2016;18/12/2016;5B;OSIR
86378;Coupe DU YACHT CLUB;06013;27/11/2017;27/11/2017;5C;OSIR
87431;Régate de la Baie des Anges;06016;21/05/2017;21/05/2017;5C;OSIR
87432;Régate en double;06016;22/10/2017;22/10/2017;5C;OSIR
87830;Coupe du Grand Est  et championnat départemental;08002;18/06/2017;18/06/2017;5B;IND, OSIR, RCB
87831;13 ème Trophée du coeur de l'Europe;08002;24/06;25/06/2017;5A;F15, MAR, MIC, OSIR
87832;Régate de Club Fête du club;08002;02/07/2017;02/07/2017;5C;INC, IND, OSIR, RCB
87833;Femmes à la Barre Trophée des passionnés 1;08002;15/07/2017;15/07/2017;5C;IND, OSIR
87835;Trophée des passionnés 2;08002;29/07/2017;29/07/2017;5C;IND, OSIR
87837;Trophée des passionnés 3;08002;12/08/2017;12/08/2017;5C;IND, OSIR
87839;Trophée des passionnés 4;08002;26/08/2017;26/08/2017;5C;IND, OSIR
85647;Coupe Nationale Maraudeurs;10001;03/06;05/06/2017;4;MAR
86466;challenge du GYC Etape 1;11007;19/03/2017;19/03/2017;5C;OSIR
86467;Challenge du GYC Etape 2;11007;02/04/2017;02/04/2017;5C;OSIR
86468;Challenge du GYC Etape 3;11007;14/05/2017;14/05/2017;5C;OSIR
86474;100 Milles de l'Aude;11007;03/06;05/06/2017;5B;OSIR
86477;Bordée Gruissanaise;11007;02/07/2017;02/07/2017;5C;OSIR
86469;Challenge du GYC Etape 4;11007;02/09/2017;02/09/2017;5C;OSIR
86475;1 Femme, 1 Homme, 1 Voilier;11007;16/09/2017;16/09/2017;5C;OSIR
86476;La Solo;11007;17/09/2017;17/09/2017;5C;OSIR
86470;Challenge du GYC Etape 5;11007;15/10/2017;15/10/2017;5C;OSIR
86471;Challenge du GYC Etape 6;11007;29/10/2017;29/10/2017;5C;OSIR
86479;Régate;11007;11/11;12/11/2017;5C;OSIR
85978;Trophée Pierre Déjean Etape 1;11001;23/04/2017;23/04/2017;5B;OSIR
85979;Trophée Pierre Déjean Etape 2;11001;07/05/2017;07/05/2017;5B;OSIR
85980;Trophée Pierre Déjean Etape 3 J Vanbleus;11001;11/06/2017;11/06/2017;5B;OSIR
85988;Coupe de Méditerranée Corsaires;11001;24/06;25/06/2017;5A;CLIB, COR
85981;Trophée Pierre Déjean Etape 4;11001;10/09/2017;10/09/2017;5B;OSIR
85987;Tour de France Micros;11001;30/09;01/10/2017;5A;OSIR
85982;Trophée Pierre Déjean Etape 5;11001;15/10/2017;15/10/2017;5B;OSIR
85771;TRAMONTANA CUP;11011;29/04;30/04/2017;5A;OSIR
85776;Trophée Henri de Monfreid;11011;13/05;14/05/2017;5B;OSIR
85780;50 milles de l'Aude;11011;17/06;18/06/2017;5B;OSIR
85781;Coupe Dame de Cezelly;11011;24/06;25/06/2017;5B;OSIR
85783;Coupe SNSM;11011;08/07/2017;08/07/2017;5C;CLIB
85788;6 heures de Leucate;11011;12/08;13/08/2017;5C;CLIB
85789;Coupe des Vendanges;11011;16/09;17/09/2017;5A;OSIR
85791;Trophée Ville de Leucate;11011;14/10;15/10/2017;5B;OSIR
88251;Régate de Bassin;13026;23/04/2017;23/04/2017;5C;OSIR
88149;Régate de Club Challenge d'Hiver 2017;13024;08/01;26/03/2017;5C;OSIR
88150;Régate de Club Printemps du Livre de Cassis;13024;23/04;07/05/2017;5C;OSIR
88151;Régate de Club Challenge Georges Arnaud;13024;09/09;24/09/2017;5C;OSIR
88154;Régate de Club Coupe de l'UNION 2017;13024;16/09;24/09/2017;5C;OSIR
88152;Régate de Club Coupe de l'Amitié 2017;13024;07/10;08/10/2017;5C;OSIR
88153;Régate de Club Challenge d'Automne 2017;13024;22/10;03/12/2017;5C;OSIR
87064;Régate Départementale 1°llenge d'hive challenge  ;13066;08/01/2017;08/01/2017;5B;OSIR
87065;Régate Départementale 2° challenge d'hiver du gol;13066;22/01/2017;22/01/2017;5B;OSIR
87066;Régate Départementale 3°challenge d'hiver du golf;13066;05/02/2017;05/02/2017;5B;OSIR
87067;Régate Départementale 4° challenge d'hiver du gol;13066;26/02/2017;26/02/2017;5B;OSIR
87076;Régate Départementale 5° challenge du golfe de Fos;13066;16/03/2017;16/03/2017;5B;OSIR
87077;Régate Départementale Reserve challenge du golfe d;13066;26/03/2017;26/03/2017;5B;OSIR
87078;Régate Départementale 6°;13066;02/04/2017;02/04/2017;5B;OSIR
87081;Régate Départementale VOILES ET ELLES;13066;21/05/2017;21/05/2017;5C;OSIR
87083;Régate Départementale 1° challenge d'automne du g;13066;24/09/2017;24/09/2017;5B;OSIR
87084;Régate Départementale 2° challenge d'automne du g;13066;08/10/2017;08/10/2017;5B;OSIR
87085;Régate Départementale 3° challenge d'automne du g;13066;22/10/2017;22/10/2017;5B;OSIR
87086;Régate Départementale 4° challenge d'automne du g;13066;12/11/2017;12/11/2017;5B;OSIR
87087;Régate Départementale 5° challenge dautomne du gol;13066;26/11/2017;26/11/2017;5B;OSIR
87088;Régate Départementale reserve challenge d'automne;13066;03/12/2017;03/12/2017;5B;OSIR
87089;Régate Départementale 6°challenge d'automne du go;13066;17/12/2017;17/12/2017;5B;OSIR
85332;Régate Départementale CAMILLE PIERRON N°1;13012;22/01/2017;22/01/2017;5B;OSIR
85333;Régate Départementale CAMILLE PIERRON N°2;13012;05/02/2017;05/02/2017;5B;OSIR
85334;Régate Départementale CAMILLE PIERRON N°3;13012;05/03/2017;05/03/2017;5B;OSIR
85335;Régate Départementale CAMILLE PIERRON N°4;13012;02/04/2017;02/04/2017;5B;OSIR
85343;Régate Départementale LES 24H DU C.N.I;13012;29/04;30/04/2017;5C;OSIR
85336;Régate Départementale CAMILLE PIERRON N°5;13012;14/05/2017;14/05/2017;5B;OSIR
85337;Régate Départementale SOLO DE L'ETANG;13012;17/06/2017;17/06/2017;5B;OSIR
85338;Régate Départementale TOUR DE L'ETANG EN EQUIPAGE;13012;18/06/2017;18/06/2017;5B;OSIR
85339;Régate Départementale CAMILLE PIERRON N°6;13012;10/09/2017;10/09/2017;5B;OSIR
85340;Régate Départementale CAMILLE PIERRON N°7;13012;24/09/2017;24/09/2017;5B;OSIR
85341;Régate Départementale CAMILLE PIERRON N°8;13012;08/10/2017;08/10/2017;5B;OSIR
85342;Régate Départementale CAMILLE PIERRON N°9;13012;12/11/2017;12/11/2017;5B;OSIR
86030;Régate 2 du 41ème Challenge de l'Estaque;13010;22/01/2017;22/01/2017;5B;OSIR
86031;Régate 3 du 41ème Challenge de l'Estaque;13010;05/02/2017;05/02/2017;5B;OSIR
86032;Régate 4 du 41ème Challenge de l'Estaque;13010;05/03/2017;05/03/2017;5B;OSIR
86033;Régate 5 du 41ème Challenge de l'Estaque;13010;19/03/2017;19/03/2017;5B;OSIR
86034;Régate 1 homme, 1 femme, 1 bateau;13010;14/05/2017;14/05/2017;5C;OSIR
86035;Régate 1 du 42ème Challenge de l'Estaque;13010;10/12/2017;10/12/2017;5B;OSIR
86006;Massilia Cup;13035;31/03;02/04/2017;4;650P, 650S, GSUR, IRC, OSIR, SB20
86008;Duo Cup;13035;06/05;08/05/2017;5A;OSIR
87279;Giraglia Rolex Cup - Course Marseille St. Tropez;13035;09/06;10/06/2017;5A;IRC, ORCC
86007;Duo Max;13035;22/06;02/07/2017;4;OSIR
86012;Duo Sail;13035;23/09;24/09/2017;5A;IRC
87280;Régate ;13035;07/10/2017;07/10/2017;5C;OSIR
87637;Championnat de France de Match Racing Féminin;13035;24/11;26/11/2017;3;J70
85757;Challenge Florence Arthaud 3;13016;29/01/2017;29/01/2017;5A;IRC, OSIR
85758;Challenge Florence Arthaud 4;13016;25/02/2017;25/02/2017;5A;IRC, OSIR
85759;Challenge Florence Arthaud 5;13016;26/02/2017;26/02/2017;5A;IRC, OSIR
85760;SNIM;13016;14/04;17/04/2017;3;FC31, GSUR, IRC
85761;Championnat de Méditerranée Surprise;13016;15/04;17/04/2017;4;SUR
85779;Calanques Classique;13016;19/05;21/05/2017;5B;CIM, IRC
85764;Trophée André Mauric;13016;24/06;25/06/2017;5B;CIM, IRC, OSIR
85765;Quadrasolo Méditerranée;13016;25/08;01/09/2017;4;IRC
85770;VIRE VIRE;13016;01/10/2017;01/10/2017;5B;ORCC
